timestamps,open,high,low,close,volume,amount
2020-02-21,470.0,538.88,448.03,500.1,112927.0,5423759234.0
2020-02-24,487.13,494.97,458.0,462.0,50303.0,2376652912.0
2020-02-25,440.0,477.0,435.06,468.99,34847.0,1614975807.0
2020-02-26,461.0,465.0,438.0,443.01,26776.0,1207243210.0
2020-02-27,446.47,446.47,417.17,418.16,25818.0,1098879080.0
2020-02-28,410.0,442.5,404.0,433.0,25877.0,1104687796.0
2020-03-02,433.39,447.65,422.0,443.63,18853.0,827243846.0
2020-03-03,449.88,453.04,432.03,432.1,16556.0,732376320.0
2020-03-04,424.4,427.0,415.01,421.52,13566.0,568469896.0
2020-03-05,426.68,444.0,426.68,435.23,13441.0,586997430.0
2020-03-06,429.59,468.0,426.05,458.03,19537.0,885557408.0
2020-03-09,450.0,452.14,438.88,438.88,12472.0,553539488.0
2020-03-10,438.89,447.98,422.2,447.63,15281.0,668574768.0
2020-03-11,445.01,448.0,430.11,431.0,10089.0,442580672.0
2020-03-12,421.0,424.4,413.02,416.59,9767.0,408196952.0
2020-03-13,390.0,412.85,388.01,404.5,9841.0,392547636.0
2020-03-16,409.5,409.66,374.18,374.97,12107.0,469789872.0
2020-03-17,381.0,384.9,348.28,365.92,11200.0,406363648.0
2020-03-18,367.99,372.55,348.01,348.5,8982.0,324791104.0
2020-03-19,346.0,353.0,333.39,348.0,10543.0,361482208.0
2020-03-20,351.99,353.99,345.0,351.19,6229.0,217971466.0
2020-03-23,340.0,340.0,325.57,326.16,8155.0,269761696.0
2020-03-24,335.1,337.45,319.6,332.09,6319.0,208485575.0
2020-03-25,338.0,355.1,338.0,345.7,9481.0,330734736.0
2020-03-26,340.22,343.0,332.45,335.2,5476.0,183934153.0
2020-03-27,338.89,342.99,327.41,329.83,6589.0,218109177.0
2020-03-30,319.5,345.49,315.11,344.0,11441.0,372588928.0
2020-03-31,343.15,351.69,343.07,345.5,6356.0,220429948.0
2020-04-01,345.0,351.51,338.1,340.12,5203.0,178951583.0
2020-04-02,340.2,349.62,335.0,348.5,6656.0,228578243.0
2020-04-03,347.67,347.67,338.0,338.0,5999.0,205481350.0
2020-04-07,343.0,347.59,340.0,340.0,6001.0,206555677.0
2020-04-08,338.0,338.5,333.51,333.59,4416.0,148097556.0
2020-04-09,335.9,338.58,333.9,335.9,3537.0,118738972.0
2020-04-10,337.0,337.0,321.0,322.6,4888.0,159592525.0
2020-04-13,319.01,325.94,315.26,320.0,4670.0,148477147.0
2020-04-14,320.05,329.7,319.0,328.64,3250.0,105851841.0
2020-04-15,328.0,337.8,327.11,331.44,4191.0,139963982.0
2020-04-16,332.5,333.95,325.3,331.0,2051.0,67828846.0
2020-04-17,332.71,336.55,328.2,331.02,2940.0,98122291.0
2020-04-20,328.0,330.0,320.08,322.58,4391.0,142045747.0
2020-04-21,320.0,323.48,318.05,319.2,2392.0,76461875.0
2020-04-22,318.15,329.48,316.73,326.7,3838.0,124251418.0
2020-04-23,326.7,355.6,326.7,349.22,8352.0,284629032.0
2020-04-24,350.0,369.52,343.22,366.57,11004.0,396771152.0
2020-04-27,365.01,375.66,358.8,360.18,5890.0,214411543.0
2020-04-28,350.0,351.8,316.2,339.34,11076.0,369161200.0
2020-04-29,333.11,348.6,330.33,339.38,5100.0,173843789.0
2020-04-30,342.52,380.0,342.0,376.0,10745.0,392793408.0
2020-05-06,368.99,386.7,366.81,384.7,7926.0,300520496.0
2020-05-07,382.0,384.0,368.28,368.58,5604.0,210458805.0
2020-05-08,372.0,376.88,370.0,374.7,5958.0,222270788.0
2020-05-11,374.7,378.0,364.7,365.37,4290.0,158635274.0
2020-05-12,365.37,367.59,349.0,357.99,5844.0,208555581.0
2020-05-13,356.33,374.97,356.0,372.92,6177.0,227296843.0
2020-05-14,372.5,376.0,369.8,374.59,4065.0,151771650.0
2020-05-15,375.14,383.0,373.3,376.62,4726.0,179100188.0
2020-05-18,378.83,382.39,361.13,364.98,6145.0,225265721.0
2020-05-19,371.0,385.0,365.34,382.7,6672.0,250240107.0
2020-05-20,384.51,400.0,381.13,392.2,10088.0,396459776.0
2020-05-21,393.01,404.69,386.03,387.99,7630.0,302754576.0
2020-05-22,388.9,398.0,373.1,380.08,6263.0,238581293.0
2020-05-25,380.0,383.3,370.18,377.3,4540.0,171746131.0
2020-05-26,384.0,399.75,381.51,399.62,7075.0,278896336.0
2020-05-27,398.5,404.0,387.33,388.43,5018.0,197460092.0
2020-05-28,389.0,391.98,375.65,383.38,4846.0,185596121.0
2020-05-29,383.39,398.5,382.04,393.5,6091.0,239844877.0
2020-06-01,398.1,412.88,398.0,405.79,7448.0,303071538.0
2020-06-02,405.97,408.88,400.11,405.78,4235.0,171745667.0
2020-06-03,408.0,413.12,398.0,400.0,4229.0,171284913.0
2020-06-04,401.12,408.3,398.0,404.39,3197.0,128970543.0
2020-06-05,402.0,403.0,391.05,392.8,4849.0,191804888.0
2020-06-08,393.0,398.2,377.0,377.55,8768.0,337991244.0
2020-06-09,378.55,383.0,370.8,377.6,4106.0,154944672.0
2020-06-10,373.36,385.0,373.36,374.05,3311.0,124615734.0
2020-06-11,373.0,378.8,370.0,371.68,3373.0,126242209.0
2020-06-12,364.9,369.88,361.3,367.0,3414.0,124832611.0
2020-06-15,366.65,377.77,362.01,370.98,3318.0,123530090.0
2020-06-16,375.0,376.98,366.11,375.48,5111.0,189784030.0
2020-06-17,375.5,377.0,369.28,373.8,3779.0,141028675.0
2020-06-18,372.99,376.5,371.01,375.88,3600.0,134661201.0
2020-06-19,375.99,385.6,373.4,383.9,4326.0,165251958.0
2020-06-22,388.0,388.0,372.01,375.47,6317.0,237999904.0
2020-06-23,374.8,375.45,368.28,371.77,4767.0,176723804.0
2020-06-24,370.26,379.02,369.0,376.69,5684.0,212801822.0
2020-06-29,373.5,376.51,366.5,368.99,4331.0,160241467.0
2020-06-30,371.8,379.52,369.13,376.9,4691.0,176238140.0
2020-07-01,384.4,408.8,384.0,405.67,11901.0,474491760.0
2020-07-02,400.98,407.86,399.0,406.5,6273.0,252720287.0
2020-07-03,407.25,410.8,393.3,400.11,5057.0,202196949.0
2020-07-06,395.61,423.98,395.6,417.0,8736.0,359843248.0
2020-07-07,418.0,445.99,411.16,437.0,11112.0,479273104.0
2020-07-08,433.49,449.5,431.3,443.0,6038.0,265918774.0
2020-07-09,438.5,458.0,438.31,454.2,7201.0,325297504.0
2020-07-10,450.0,452.79,433.0,438.0,5770.0,255215160.0
2020-07-13,437.1,448.98,437.0,440.36,5268.0,233314729.0
2020-07-14,440.5,449.99,428.0,433.0,6940.0,302522096.0
2020-07-15,431.5,439.9,405.8,414.15,8953.0,378868128.0
2020-07-16,419.93,420.22,384.99,386.05,6150.0,247186322.0
2020-07-17,378.0,394.98,376.0,380.08,5255.0,202004561.0
2020-07-20,382.2,412.0,380.08,406.31,5490.0,218411458.0
2020-07-21,405.8,409.08,398.99,406.3,3438.0,139187801.0
2020-07-22,401.8,412.0,401.0,404.0,3067.0,124600568.0
2020-07-23,403.5,403.5,385.0,400.0,6197.0,243743481.0
2020-07-24,397.0,397.0,376.0,377.2,4954.0,190320479.0
2020-07-27,378.88,389.03,376.51,382.23,2891.0,110716931.0
2020-07-28,386.0,388.95,381.22,384.54,2162.0,83013743.0
2020-07-29,384.5,399.0,378.89,397.07,3738.0,147589513.0
2020-07-30,396.96,402.8,390.0,392.0,4056.0,160751710.0
2020-07-31,388.55,396.88,386.5,391.4,4740.0,185127246.0
2020-08-03,380.0,399.78,377.41,398.0,7130.0,276195840.0
2020-08-04,397.0,401.98,391.1,399.0,5214.0,206767685.0
2020-08-05,401.44,422.44,393.13,418.5,6299.0,259367168.0
2020-08-06,419.99,423.93,415.02,421.35,4440.0,186533954.0
2020-08-07,421.34,421.35,403.0,404.67,4562.0,188003608.0
2020-08-10,402.67,408.17,390.01,397.93,3330.0,132766510.0
2020-08-11,400.52,422.9,395.66,417.55,8163.0,339768512.0
2020-08-12,418.35,426.66,411.41,424.11,5257.0,220480335.0
